Month	MajorText	MinorText	Borough	CrimeCount	Population
201308	Violence Against The Person	Assault With Injury	Barnet	78	380800
201308	Violence Against The Person	Common Assault	Barnet	102	380800
201308	Drugs	Other Drugs	Barnet	1	380800
201308	Robbery	Personal Property	Bexley	14	240600
201308	Burglary	Burglary In A Dwelling	Bexley	79	240600
201308	Other Notifiable Offences	Going Equipped	Bexley	1	240600
201308	Violence Against The Person	Assault With Injury	Bexley	58	240600
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Bexley	68	240600
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Bexley	13	240600
201308	Criminal Damage	Criminal Damage To Dwelling	Bexley	26	240600
201308	Theft & Handling	Theft From Motor Vehicle	Bexley	66	240600
201308	Theft & Handling	Other Theft	Bexley	118	240600
201308	Burglary	Burglary In Other Buildings	Bexley	45	240600
201308	Theft & Handling	Other Theft Person	Bexley	8	240600
201308	Other Notifiable Offences	Other Notifiable	Bexley	25	240600
201308	Sexual Offences	Rape	Bexley	8	240600
201308	Violence Against The Person	Offensive Weapon	Bexley	1	240600
201308	Theft & Handling	Handling Stolen Goods	Bexley	1	240600
201308	Theft & Handling	Theft From Shops	Bexley	64	240600
201308	Drugs	Possession Of Drugs	Bexley	56	240600
201308	Violence Against The Person	Harassment	Bexley	68	240600
201308	Robbery	Business Property	Bexley	3	240600
201308	Sexual Offences	Other Sexual	Bexley	6	240600
201308	Violence Against The Person	Other Violence	Bexley	10	240600
201308	Criminal Damage	Other Criminal Damage	Bexley	35	240600
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Bexley	36	240600
201308	Violence Against The Person	Wounding/GBH	Bexley	26	240600
201308	Violence Against The Person	Common Assault	Bexley	65	240600
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Bexley	8	240600
201308	Drugs	Drug Trafficking	Bexley	7	240600
201308	Criminal Damage	Criminal Damage To Other Building	Bexley	10	240600
201308	Violence Against The Person	Harassment	Brent	145	325400
201308	Criminal Damage	Other Criminal Damage	Brent	39	325400
201308	Fraud & Forgery	Other Fraud & Forgery	Brent	3	325400
201308	Robbery	Business Property	Brent	4	325400
201308	Violence Against The Person	Offensive Weapon	Brent	13	325400
201308	Burglary	Burglary In Other Buildings	Brent	76	325400
201308	Theft & Handling	Other Theft	Brent	187	325400
201308	Other Notifiable Offences	Other Notifiable	Brent	38	325400
201308	Violence Against The Person	Other Violence	Brent	20	325400
201308	Other Notifiable Offences	Going Equipped	Brent	2	325400
201308	Violence Against The Person	Assault With Injury	Brent	128	325400
201308	Drugs	Other Drugs	Brent	4	325400
201308	Theft & Handling	Theft From Shops	Brent	61	325400
201308	Burglary	Burglary In A Dwelling	Brent	138	325400
201308	Violence Against The Person	Murder	Brent	1	325400
201308	Violence Against The Person	Wounding/GBH	Brent	79	325400
201308	Criminal Damage	Criminal Damage To Dwelling	Brent	57	325400
201308	Violence Against The Person	Common Assault	Brent	110	325400
201308	Theft & Handling	Theft From Motor Vehicle	Brent	150	325400
201308	Robbery	Personal Property	Brent	127	325400
201308	Theft & Handling	Other Theft Person	Brent	80	325400
201308	Theft & Handling	Handling Stolen Goods	Brent	10	325400
201308	Criminal Damage	Criminal Damage To Other Building	Brent	19	325400
201308	Sexual Offences	Rape	Brent	12	325400
201308	Drugs	Drug Trafficking	Brent	10	325400
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Brent	6	325400
201308	Drugs	Possession Of Drugs	Brent	279	325400
201308	Sexual Offences	Other Sexual	Brent	21	325400
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Brent	61	325400
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Brent	43	325400
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Brent	55	325400
201308	Theft & Handling	Theft From Shops	Bromley	137	324700
201308	Burglary	Burglary In Other Buildings	Bromley	83	324700
201308	Drugs	Other Drugs	Bromley	3	324700
201308	Fraud & Forgery	Other Fraud & Forgery	Bromley	1	324700
201308	Robbery	Business Property	Bromley	3	324700
201308	Violence Against The Person	Harassment	Bromley	110	324700
201308	Robbery	Personal Property	Bromley	49	324700
201308	Other Notifiable Offences	Other Notifiable	Bromley	22	324700
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Bromley	68	324700
201308	Violence Against The Person	Offensive Weapon	Bromley	5	324700
201308	Sexual Offences	Rape	Bromley	10	324700
201308	Theft & Handling	Theft From Motor Vehicle	Bromley	105	324700
201308	Violence Against The Person	Assault With Injury	Bromley	98	324700
201308	Theft & Handling	Other Theft	Bromley	242	324700
201308	Burglary	Burglary In A Dwelling	Bromley	149	324700
201308	Theft & Handling	Handling Stolen Goods	Bromley	7	324700
201308	Criminal Damage	Criminal Damage To Dwelling	Bromley	40	324700
201308	Violence Against The Person	Other Violence	Bromley	10	324700
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Bromley	35	324700
201308	Violence Against The Person	Wounding/GBH	Bromley	38	324700
201308	Violence Against The Person	Common Assault	Bromley	85	324700
201308	Theft & Handling	Other Theft Person	Bromley	32	324700
201308	Sexual Offences	Other Sexual	Bromley	16	324700
201308	Drugs	Possession Of Drugs	Bromley	75	324700
201308	Criminal Damage	Criminal Damage To Other Building	Bromley	11	324700
201308	Criminal Damage	Other Criminal Damage	Bromley	39	324700
201308	Drugs	Drug Trafficking	Bromley	7	324700
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Bromley	8	324700
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Bromley	18	324700
201308	Violence Against The Person	Harassment	Camden	135	237400
201308	Theft & Handling	Theft From Shops	Camden	75	237400
201308	Sexual Offences	Rape	Camden	9	237400
201308	Other Notifiable Offences	Other Notifiable	Camden	30	237400
201308	Theft & Handling	Handling Stolen Goods	Camden	4	237400
201308	Drugs	Possession Of Drugs	Camden	171	237400
201308	Violence Against The Person	Offensive Weapon	Camden	5	237400
201308	Robbery	Business Property	Camden	6	237400
201308	Theft & Handling	Theft From Motor Vehicle	Camden	156	237400
201308	Other Notifiable Offences	Going Equipped	Camden	3	237400
201308	Burglary	Burglary In Other Buildings	Camden	158	237400
201308	Theft & Handling	Other Theft	Camden	597	237400
201308	Theft & Handling	Other Theft Person	Camden	333	237400
201308	Burglary	Burglary In A Dwelling	Camden	145	237400
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Camden	112	237400
201308	Robbery	Personal Property	Camden	71	237400
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Camden	53	237400
201308	Criminal Damage	Criminal Damage To Dwelling	Camden	35	237400
201308	Violence Against The Person	Assault With Injury	Camden	97	237400
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Camden	19	237400
201308	Drugs	Drug Trafficking	Camden	6	237400
201308	Criminal Damage	Criminal Damage To Other Building	Camden	27	237400
201308	Fraud & Forgery	Other Fraud & Forgery	Camden	2	237400
201308	Violence Against The Person	Common Assault	Camden	84	237400
201308	Violence Against The Person	Other Violence	Camden	21	237400
201308	Sexual Offences	Other Sexual	Camden	19	237400
201308	Violence Against The Person	Wounding/GBH	Camden	75	237400
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Camden	79	237400
201308	Criminal Damage	Other Criminal Damage	Camden	25	237400
201308	Criminal Damage	Criminal Damage To Dwelling	Croydon	72	380900
201308	Criminal Damage	Criminal Damage To Other Building	Croydon	22	380900
201308	Sexual Offences	Rape	Croydon	22	380900
201308	Drugs	Possession Of Drugs	Croydon	140	380900
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Croydon	101	380900
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Croydon	50	380900
201308	Drugs	Drug Trafficking	Croydon	14	380900
201308	Sexual Offences	Other Sexual	Croydon	13	380900
201308	Theft & Handling	Other Theft	Croydon	337	380900
201308	Burglary	Burglary In A Dwelling	Croydon	260	380900
201308	Criminal Damage	Other Criminal Damage	Croydon	68	380900
201308	Theft & Handling	Other Theft Person	Croydon	106	380900
201308	Theft & Handling	Theft From Shops	Croydon	126	380900
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Croydon	8	380900
201308	Violence Against The Person	Harassment	Croydon	136	380900
201308	Theft & Handling	Theft From Motor Vehicle	Croydon	209	380900
201308	Robbery	Business Property	Croydon	18	380900
201308	Other Notifiable Offences	Going Equipped	Croydon	2	380900
201308	Fraud & Forgery	Other Fraud & Forgery	Croydon	4	380900
201308	Violence Against The Person	Other Violence	Croydon	24	380900
201308	Burglary	Burglary In Other Buildings	Croydon	94	380900
201308	Other Notifiable Offences	Other Notifiable	Croydon	27	380900
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Croydon	36	380900
201308	Violence Against The Person	Offensive Weapon	Croydon	13	380900
201308	Theft & Handling	Handling Stolen Goods	Croydon	5	380900
201308	Violence Against The Person	Wounding/GBH	Croydon	68	380900
201308	Violence Against The Person	Common Assault	Croydon	130	380900
201308	Drugs	Other Drugs	Croydon	1	380900
201308	Violence Against The Person	Assault With Injury	Croydon	139	380900
201308	Robbery	Personal Property	Croydon	135	380900
201308	Sexual Offences	Other Sexual	Ealing	47	349800
201308	Theft & Handling	Other Theft	Ealing	284	349800
201308	Drugs	Possession Of Drugs	Ealing	91	349800
201308	Violence Against The Person	Murder	Ealing	3	349800
201308	Other Notifiable Offences	Other Notifiable	Ealing	44	349800
201308	Burglary	Burglary In Other Buildings	Ealing	100	349800
201308	Criminal Damage	Other Criminal Damage	Ealing	46	349800
201308	Criminal Damage	Criminal Damage To Other Building	Ealing	18	349800
201308	Fraud & Forgery	Other Fraud & Forgery	Ealing	3	349800
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Ealing	72	349800
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Ealing	48	349800
201308	Drugs	Drug Trafficking	Ealing	25	349800
201308	Burglary	Burglary In A Dwelling	Ealing	142	349800
201308	Violence Against The Person	Assault With Injury	Ealing	132	349800
201308	Theft & Handling	Theft From Shops	Ealing	107	349800
201308	Theft & Handling	Other Theft Person	Ealing	91	349800
201308	Robbery	Personal Property	Ealing	55	349800
201308	Theft & Handling	Handling Stolen Goods	Ealing	1	349800
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Ealing	88	349800
201308	Violence Against The Person	Other Violence	Ealing	29	349800
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Ealing	11	349800
201308	Robbery	Business Property	Ealing	4	349800
201308	Violence Against The Person	Common Assault	Ealing	121	349800
201308	Violence Against The Person	Wounding/GBH	Ealing	50	349800
201308	Criminal Damage	Criminal Damage To Dwelling	Ealing	55	349800
201308	Violence Against The Person	Offensive Weapon	Ealing	5	349800
201308	Sexual Offences	Rape	Ealing	9	349800
201308	Theft & Handling	Theft From Motor Vehicle	Ealing	251	349800
201308	Violence Against The Person	Harassment	Ealing	225	349800
201308	Burglary	Burglary In Other Buildings	Enfield	61	329200
201308	Other Notifiable Offences	Other Notifiable	Enfield	34	329200
201308	Theft & Handling	Other Theft	Enfield	229	329200
201308	Violence Against The Person	Other Violence	Enfield	26	329200
201308	Violence Against The Person	Wounding/GBH	Enfield	54	329200
201308	Criminal Damage	Other Criminal Damage	Enfield	40	329200
201308	Violence Against The Person	Offensive Weapon	Enfield	12	329200
201308	Theft & Handling	Theft From Motor Vehicle	Enfield	250	329200
201308	Violence Against The Person	Harassment	Enfield	123	329200
201308	Fraud & Forgery	Other Fraud & Forgery	Enfield	3	329200
201308	Robbery	Business Property	Enfield	6	329200
201308	Violence Against The Person	Common Assault	Enfield	87	329200
201308	Violence Against The Person	Assault With Injury	Enfield	107	329200
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Enfield	26	329200
201308	Robbery	Personal Property	Enfield	76	329200
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Enfield	13	329200
201308	Drugs	Other Drugs	Enfield	2	329200
201308	Criminal Damage	Criminal Damage To Dwelling	Enfield	48	329200
201308	Criminal Damage	Criminal Damage To Other Building	Enfield	13	329200
201308	Sexual Offences	Rape	Enfield	15	329200
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Enfield	91	329200
201308	Drugs	Drug Trafficking	Enfield	6	329200
201308	Other Notifiable Offences	Going Equipped	Enfield	2	329200
201308	Burglary	Burglary In A Dwelling	Enfield	185	329200
201308	Theft & Handling	Theft From Shops	Enfield	79	329200
201308	Theft & Handling	Other Theft Person	Enfield	44	329200
201308	Theft & Handling	Handling Stolen Goods	Enfield	8	329200
201308	Drugs	Possession Of Drugs	Enfield	135	329200
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Enfield	84	329200
201308	Sexual Offences	Other Sexual	Enfield	15	329200
201308	Fraud & Forgery	Other Fraud & Forgery	Greenwich	4	270200
201308	Violence Against The Person	Wounding/GBH	Greenwich	63	270200
201308	Criminal Damage	Criminal Damage To Other Building	Greenwich	20	270200
201308	Drugs	Other Drugs	Greenwich	1	270200
201308	Criminal Damage	Other Criminal Damage	Greenwich	40	270200
201308	Violence Against The Person	Common Assault	Greenwich	119	270200
201308	Sexual Offences	Other Sexual	Greenwich	13	270200
201308	Violence Against The Person	Other Violence	Greenwich	19	270200
201308	Violence Against The Person	Offensive Weapon	Greenwich	7	270200
201308	Other Notifiable Offences	Other Notifiable	Greenwich	33	270200
201308	Sexual Offences	Rape	Greenwich	12	270200
201308	Theft & Handling	Other Theft Person	Greenwich	46	270200
201308	Violence Against The Person	Harassment	Greenwich	135	270200
201308	Theft & Handling	Other Theft	Greenwich	187	270200
201308	Drugs	Possession Of Drugs	Greenwich	102	270200
201308	Burglary	Burglary In Other Buildings	Greenwich	94	270200
201308	Robbery	Business Property	Greenwich	2	270200
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Greenwich	47	270200
201308	Theft & Handling	Theft From Shops	Greenwich	104	270200
201308	Robbery	Personal Property	Greenwich	38	270200
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Greenwich	60	270200
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Greenwich	30	270200
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Greenwich	15	270200
201308	Drugs	Drug Trafficking	Greenwich	6	270200
201308	Theft & Handling	Theft From Motor Vehicle	Greenwich	107	270200
201308	Criminal Damage	Criminal Damage To Dwelling	Greenwich	51	270200
201308	Other Notifiable Offences	Going Equipped	Greenwich	1	270200
201308	Burglary	Burglary In A Dwelling	Greenwich	115	270200
201308	Violence Against The Person	Assault With Injury	Greenwich	103	270200
201308	Violence Against The Person	Murder	Hackney	1	265400
201308	Robbery	Personal Property	Hackney	87	265400
201308	Theft & Handling	Handling Stolen Goods	Hackney	3	265400
201308	Violence Against The Person	Assault With Injury	Hackney	80	265400
201308	Violence Against The Person	Other Violence	Hackney	23	265400
201308	Burglary	Burglary In A Dwelling	Hackney	140	265400
201308	Violence Against The Person	Common Assault	Hackney	127	265400
201308	Criminal Damage	Criminal Damage To Dwelling	Hackney	56	265400
201308	Theft & Handling	Other Theft	Hackney	354	265400
201308	Other Notifiable Offences	Going Equipped	Hackney	1	265400
201308	Theft & Handling	Theft From Motor Vehicle	Hackney	164	265400
201308	Violence Against The Person	Offensive Weapon	Hackney	9	265400
201308	Burglary	Burglary In Other Buildings	Hackney	115	265400
201308	Theft & Handling	Theft From Shops	Hackney	68	265400
201308	Other Notifiable Offences	Other Notifiable	Hackney	28	265400
201308	Robbery	Business Property	Hackney	3	265400
201308	Violence Against The Person	Harassment	Hackney	152	265400
201308	Fraud & Forgery	Other Fraud & Forgery	Hackney	1	265400
201308	Criminal Damage	Other Criminal Damage	Hackney	25	265400
201308	Drugs	Drug Trafficking	Hackney	56	265400
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Hackney	65	265400
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Hackney	13	265400
201308	Drugs	Possession Of Drugs	Hackney	156	265400
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Hackney	145	265400
201308	Theft & Handling	Other Theft Person	Hackney	253	265400
201308	Sexual Offences	Rape	Hackney	11	265400
201308	Criminal Damage	Criminal Damage To Other Building	Hackney	15	265400
201308	Violence Against The Person	Wounding/GBH	Hackney	61	265400
201308	Sexual Offences	Other Sexual	Hackney	29	265400
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Hackney	61	265400
201308	Theft & Handling	Handling Stolen Goods	Hammersmith and Fulham	3	181700
201308	Sexual Offences	Rape	Hammersmith and Fulham	10	181700
201308	Drugs	Possession Of Drugs	Hammersmith and Fulham	138	181700
201308	Drugs	Drug Trafficking	Hammersmith and Fulham	7	181700
201308	Criminal Damage	Criminal Damage To Other Building	Hammersmith and Fulham	16	181700
201308	Theft & Handling	Other Theft Person	Hammersmith and Fulham	60	181700
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Hammersmith and Fulham	9	181700
201308	Sexual Offences	Other Sexual	Hammersmith and Fulham	12	181700
201308	Criminal Damage	Other Criminal Damage	Hammersmith and Fulham	27	181700
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Hammersmith and Fulham	82	181700
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Hammersmith and Fulham	37	181700
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Hammersmith and Fulham	38	181700
201308	Burglary	Burglary In Other Buildings	Hammersmith and Fulham	38	181700
201308	Theft & Handling	Other Theft	Hammersmith and Fulham	267	181700
201308	Other Notifiable Offences	Other Notifiable	Hammersmith and Fulham	30	181700
201308	Violence Against The Person	Harassment	Hammersmith and Fulham	110	181700
201308	Violence Against The Person	Offensive Weapon	Hammersmith and Fulham	10	181700
201308	Theft & Handling	Theft From Shops	Hammersmith and Fulham	148	181700
201308	Fraud & Forgery	Other Fraud & Forgery	Hammersmith and Fulham	7	181700
201308	Robbery	Business Property	Hammersmith and Fulham	1	181700
201308	Violence Against The Person	Other Violence	Hammersmith and Fulham	13	181700
201308	Drugs	Other Drugs	Hammersmith and Fulham	8	181700
201308	Violence Against The Person	Assault With Injury	Hammersmith and Fulham	80	181700
201308	Robbery	Personal Property	Hammersmith and Fulham	53	181700
201308	Burglary	Burglary In A Dwelling	Hammersmith and Fulham	79	181700
201308	Criminal Damage	Criminal Damage To Dwelling	Hammersmith and Fulham	18	181700
201308	Violence Against The Person	Wounding/GBH	Hammersmith and Fulham	31	181700
201308	Theft & Handling	Theft From Motor Vehicle	Hammersmith and Fulham	161	181700
201308	Violence Against The Person	Common Assault	Hammersmith and Fulham	86	181700
201308	Other Notifiable Offences	Going Equipped	Hammersmith and Fulham	2	181700
201308	Violence Against The Person	Murder	Haringey	1	271000
201308	Violence Against The Person	Assault With Injury	Haringey	86	271000
201308	Violence Against The Person	Common Assault	Haringey	76	271000
201308	Violence Against The Person	Wounding/GBH	Haringey	63	271000
201308	Violence Against The Person	Offensive Weapon	Haringey	14	271000
201308	Sexual Offences	Rape	Haringey	16	271000
201308	Theft & Handling	Handling Stolen Goods	Haringey	3	271000
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Haringey	16	271000
201308	Other Notifiable Offences	Other Notifiable	Haringey	22	271000
201308	Violence Against The Person	Other Violence	Haringey	24	271000
201308	Burglary	Burglary In Other Buildings	Haringey	65	271000
201308	Other Notifiable Offences	Going Equipped	Haringey	3	271000
201308	Violence Against The Person	Harassment	Haringey	65	271000
201308	Robbery	Personal Property	Haringey	68	271000
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Haringey	46	271000
201308	Robbery	Business Property	Haringey	8	271000
201308	Theft & Handling	Theft From Motor Vehicle	Haringey	220	271000
201308	Fraud & Forgery	Other Fraud & Forgery	Haringey	3	271000
201308	Theft & Handling	Other Theft	Haringey	299	271000
201308	Burglary	Burglary In A Dwelling	Haringey	149	271000
201308	Theft & Handling	Other Theft Person	Haringey	87	271000
201308	Theft & Handling	Theft From Shops	Haringey	57	271000
201308	Criminal Damage	Other Criminal Damage	Haringey	49	271000
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Haringey	64	271000
201308	Drugs	Drug Trafficking	Haringey	8	271000
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Haringey	72	271000
201308	Drugs	Possession Of Drugs	Haringey	66	271000
201308	Criminal Damage	Criminal Damage To Dwelling	Haringey	42	271000
201308	Criminal Damage	Criminal Damage To Other Building	Haringey	18	271000
201308	Sexual Offences	Other Sexual	Haringey	19	271000
201308	Criminal Damage	Criminal Damage To Dwelling	Harrow	19	249900
201308	Violence Against The Person	Other Violence	Harrow	13	249900
201308	Burglary	Burglary In A Dwelling	Harrow	86	249900
201308	Theft & Handling	Other Theft	Harrow	110	249900
201308	Theft & Handling	Theft From Motor Vehicle	Harrow	95	249900
201308	Theft & Handling	Handling Stolen Goods	Harrow	2	249900
201308	Violence Against The Person	Offensive Weapon	Harrow	5	249900
201308	Sexual Offences	Rape	Harrow	9	249900
201308	Other Notifiable Offences	Other Notifiable	Harrow	30	249900
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Harrow	51	249900
201308	Burglary	Burglary In Other Buildings	Harrow	30	249900
201308	Violence Against The Person	Assault With Injury	Harrow	59	249900
201308	Theft & Handling	Theft From Shops	Harrow	47	249900
201308	Robbery	Business Property	Harrow	1	249900
201308	Other Notifiable Offences	Going Equipped	Harrow	2	249900
201308	Violence Against The Person	Harassment	Harrow	81	249900
201308	Robbery	Personal Property	Harrow	50	249900
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Harrow	25	249900
201308	Fraud & Forgery	Other Fraud & Forgery	Harrow	3	249900
201308	Drugs	Drug Trafficking	Harrow	2	249900
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Harrow	5	249900
201308	Criminal Damage	Criminal Damage To Other Building	Harrow	13	249900
201308	Criminal Damage	Other Criminal Damage	Harrow	28	249900
201308	Violence Against The Person	Common Assault	Harrow	72	249900
201308	Violence Against The Person	Wounding/GBH	Harrow	33	249900
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Harrow	15	249900
201308	Drugs	Possession Of Drugs	Harrow	90	249900
201308	Sexual Offences	Other Sexual	Harrow	7	249900
201308	Theft & Handling	Other Theft Person	Harrow	24	249900
201308	Criminal Damage	Criminal Damage To Other Building	Havering	13	247200
201308	Violence Against The Person	Wounding/GBH	Havering	36	247200
201308	Fraud & Forgery	Other Fraud & Forgery	Havering	1	247200
201308	Criminal Damage	Other Criminal Damage	Havering	30	247200
201308	Violence Against The Person	Common Assault	Havering	61	247200
201308	Sexual Offences	Other Sexual	Havering	10	247200
201308	Violence Against The Person	Other Violence	Havering	9	247200
201308	Drugs	Possession Of Drugs	Havering	54	247200
201308	Theft & Handling	Theft From Shops	Havering	87	247200
201308	Other Notifiable Offences	Other Notifiable	Havering	18	247200
201308	Theft & Handling	Other Theft Person	Havering	21	247200
201308	Sexual Offences	Rape	Havering	9	247200
201308	Violence Against The Person	Offensive Weapon	Havering	5	247200
201308	Violence Against The Person	Harassment	Havering	91	247200
201308	Theft & Handling	Other Theft	Havering	195	247200
201308	Burglary	Burglary In Other Buildings	Havering	36	247200
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Havering	72	247200
201308	Robbery	Business Property	Havering	3	247200
201308	Violence Against The Person	Assault With Injury	Havering	78	247200
201308	Robbery	Personal Property	Havering	19	247200
201308	Drugs	Drug Trafficking	Havering	11	247200
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Havering	46	247200
201308	Theft & Handling	Theft From Motor Vehicle	Havering	145	247200
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Havering	14	247200
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Havering	16	247200
201308	Burglary	Burglary In A Dwelling	Havering	130	247200
201308	Criminal Damage	Criminal Damage To Dwelling	Havering	26	247200
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Hillingdon	10	296600
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Hillingdon	31	296600
201308	Robbery	Personal Property	Hillingdon	40	296600
201308	Violence Against The Person	Assault With Injury	Hillingdon	99	296600
